Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Abaiara;0,48;71,44;62,57;86,56;99,36;44,41;19,89;36,92;50;10496;26,9;2,54;59,93;9,05;56,23;50;103,46;91,24;29,4;9,7;229,74;20,96;32,15;39,16
Acarape;0,43;76,94;60,83;90,37;99,43;34,05;33,09;28,9;57;15338;34,4;2,43;54,68;7,32;61,08;43;102,5;92,15;21,77;9,14;259,03;12,31;18,06;42
Acaraú;0,6;86,17;54,2;71,44;95,58;35,14;33,92;48,31;50;57551;25,1;2,56;55,99;6,99;69,01;50;105,51;92,01;28,83;10,03;250,79;28,32;38,46;32,42
Acopiara;0,57;61;59,44;89,18;98,4;33,1;19,99;50,82;49;51160;31,5;2,33;54,96;10,6;61,89;51;111,37;93,79;32,87;9,94;266,65;29,5;41,92;34,57
Aiuaba;0,53;55,79;42,17;97,11;94,64;35,93;30,56;55,43;48;16203;26,6;2,4;59,71;8,58;65,56;52;104,55;92,17;34,14;8,79;200,6;30,97;41,59;32,36
Alcântaras;0,46;62,59;46,73;94,88;98,13;44,4;24,37;41,56;41;10771;26,3;2,15;58,4;9,4;66,1;59;105,99;95,9;29,11;9,43;243,73;20,12;27,73;33,02
Altaneira;0,55;95,55;72,35;98,69;98,77;37,43;22,34;47,42;31;6856;22,5;2,17;63,86;11,25;62,09;69;108,28;94,19;31,83;10,36;240,97;28,68;42,11;34,68
Alto Santo;0,48;67,39;66,52;76,94;98,65;34,99;17,79;46,73;54;16359;22,4;2,3;50,46;7,93;53,58;46;106,14;91,48;30,13;9,12;265,07;17,8;29,03;34,44
Amontada;0,56;77,08;39,6;72,97;95,14;37,55;29,06;33,11;51;39232;24,6;2,83;65,51;7,74;55,49;49;106,07;94,43;25,67;10,25;182,47;37,41;48,64;30,93
Antonina do Norte;0,51;79,62;68,14;85,57;98,51;37,21;35,05;48,27;46;6984;22,7;1,83;63,98;10,58;62,36;54;104,12;89,79;32,61;9,39;244,83;21,79;29,88;35,54
Apuiarés;0,54;83,41;63,16;92,61;98,48;31,41;33,03;37,98;40;13925;28,2;2,38;57,52;9,44;62,24;60;107,99;96,58;26,8;10,63;224,63;29,96;42,78;34,33
Aquiraz;0,48;77,76;59,31;76,04;98,9;35,86;26,51;39,9;56;72628;20,2;2,11;48,12;6,62;58,55;44;107,86;92,78;20,83;9,05;352,6;8,09;12,41;36,13
Aracati;0,53;82,01;64,18;93,54;98,82;27,5;20,59;30,98;47;69159;27,9;1,88;47,13;7,43;48,56;54;108,53;94,49;20,82;10,39;349,26;14,18;21,2;36,4
Aracoiaba;0,51;65,97;54,77;76,91;98,88;33,83;30,28;37,99;47;25391;24,8;2,25;56,29;9,45;61,16;53;106,09;91,89;30,07;9,46;245,24;23;34,1;33,08
Ararendá;0,53;75,64;62,64;89,88;98,95;36,2;24,37;46,6;47;10491;24,3;2,4;58,74;10,09;71,01;53;103,37;94,78;34,02;9,77;205,43;36,31;50,15;35,72
Araripe;0,56;68,42;60,42;90,96;97,59;43,27;28,04;55,55;54;20685;24,9;2,31;64,39;7,88;58,44;46;104,11;92,17;33,54;9,12;197,14;36,68;50,23;33,05
Aratuba;0,49;82,06;50,61;96,75;99,96;36,29;22,77;39,37;39;11529;22,3;2,38;58,93;8,19;60,33;61;105,31;93,79;25,35;9,98;215,94;25,67;34,64;34,99
Arneiroz;0,53;59,54;47,9;96,99;97,77;30,95;25,23;42,07;45;7650;28,3;2,14;56,19;9,23;49,58;55;118,33;93,73;30,26;9,7;269,77;19,9;27,52;39,33
Assaré;0,59;79,51;58,17;92,94;99,41;36,5;22,41;53,98;57;22445;21;2,04;62,36;10,39;61,71;43;106,17;92,39;31,68;9,61;282,6;27,95;39,67;31,65
Aurora;0,53;65,28;65,33;93,42;99,26;34,5;12,38;49,82;48;24566;24,1;1,99;54,54;9,88;57,55;52;107,69;93,22;28,05;9,1;255,78;24,46;35,42;37,45
Baixio;0,46;83,47;76,4;98,38;99,85;28,08;8,2;30,98;48;6026;24,2;2,1;52,67;10,26;40,4;52;110,25;93,92;23,75;9,41;265,94;17,63;27,35;42,3
Banabuiú;0,55;66,09;56,99;91,01;98,14;38,44;41,09;41,43;53;17315;21,7;2,68;62,25;8,04;69,26;47;105,37;93,06;30,18;9,97;229,99;28,36;40,28;31,47
Barbalha;0,51;82,13;79,86;92,34;99,84;36,66;16,89;28,02;46;55323;16;2,01;53,08;7,67;45,91;54;112,43;95,02;18,79;10,4;362,9;10;15,47;42,44
Barreira;0,5;70,02;49,81;83,6;99,75;35,41;27,9;42,84;49;19573;22,9;2,42;53,55;7,54;59,69;51;103,09;92,35;27,46;9,57;246,69;21,19;29,91;35,05
Barro;0,5;75,86;75,93;86,43;99,46;34,31;17,98;46,17;42;21514;25;2,15;52,91;10,1;58,5;58;109,07;92,35;23,37;9,67;254,44;24,08;36,09;34,46
Barroquinha;0,55;75,31;54,44;73,38;97,93;40,7;45,86;46,58;43;14476;32,2;2,74;58,09;7,13;78,19;58;111,4;96,58;36,5;10,22;192,96;35,21;45,88;33,77
Baturité;0,48;71,88;66,53;94,53;99,7;31,9;24,37;37,99;51;33321;25,9;2,12;56,4;8,39;57,71;49;109,08;92,41;22,03;10,13;284,88;14,44;21,81;36,16
Beberibe;0,55;75,77;53,42;92,97;98,79;23,94;31,93;40,11;47;49311;21,8;2,05;51,76;8,39;58,4;53;104,12;94,46;26,05;10,02;304,61;20,15;28,36;35,14
Bela Cruz;0,55;82,31;41,72;86,07;94,98;36,95;19,67;37,28;50;30878;24,8;2,32;56,69;7,77;59,7;50;107,14;94,45;27,09;10,31;221,07;28,97;40;35,01
Boa Viagem;0,59;74,18;64,17;83,54;98,13;33,62;33,92;45,49;64;52498;23,3;2,47;61,48;9,78;67,76;36;107,22;93,38;32,57;8,87;250,47;31,91;44,43;31,59
Brejo Santo;0,52;83,49;77,3;98,04;99,22;41,48;14,91;35,88;45;45193;23,4;1,77;50,45;7,96;55,81;55;109,08;89,58;22,68;9,02;325,64;13,83;18,16;31,85
Camocim;0,56;93,62;68,75;93,75;98,71;37,9;40,43;40,18;52;60158;30,5;2,33;54,11;6,63;66,8;48;107,45;93,49;26,49;9,95;269;22,12;31,51;35,34
Campos Sales;0,58;71,86;66,46;93,77;98,92;29,41;25,97;45,73;45;26506;23,3;2,19;61,37;10,02;53,79;55;110,52;93,91;29,21;10,57;303,68;23,58;34,01;37,09
Canindé;0,58;73,73;64,46;91,81;99,07;36,55;29,56;45,7;51;74473;23,9;2,24;59,15;8,67;60,15;49;111,53;93,05;24,67;9,15;278,9;26,44;35,98;31,1
Capistrano;0,57;55,07;36,1;82,02;99,38;35,45;21,64;34,36;43;17062;30,2;2,11;56,83;8,65;50,47;57;103,81;91,91;27,78;10,31;211,95;32,97;46,26;29,45
Caridade;0,5;81,04;50,22;86,64;99,59;34,12;40,27;50,05;48;20020;21,6;2,29;56,55;7,62;70,52;52;104,07;91,7;26,83;8,18;213,18;26,58;35,81;32,37
Cariré;0,54;81,42;67,15;86,84;98,13;34,9;26,58;42;55;18347;26,7;2,35;60,32;10,64;60,89;45;115,31;94,5;30,47;10,09;225,75;28,47;41,37;35
Caririaçu;0,51;82,1;71,76;95,81;99,29;42,43;35,17;47,72;59;26393;30,2;2,33;64,1;9,01;67,43;41;110,1;93,98;31,65;9,66;243,1;21,83;28,61;33,46
Cariús;0,52;62,25;67,78;97,36;98,84;32,84;10,77;46,67;55;18567;26,3;2,46;55,11;11,12;54,04;45;101,13;92,79;31,79;9,71;239,39;28,7;42,2;28,24
Carnaubal;0,53;75,15;81,43;96,4;99,51;26,35;24,87;44,76;52;16746;24,8;2,39;64,71;8,95;63,81;48;109,13;92,81;29,66;10,32;224,37;27,18;37,18;36,76
Cascavel;0,48;79,4;61,47;74,97;99,28;29,31;31,13;36,19;56;66142;19,5;1,82;49,99;8,04;59,48;44;110;93,54;22,89;9,74;309,14;12,08;17,89;33,44
Catarina;0,51;58,69;61,76;97,08;95,32;30,3;15,68;42,87;49;18745;24;1,74;43,22;7,2;70,43;51;108,31;88,21;29,44;8,93;246,38;21,25;31,89;33,91
Catunda;0,53;75,83;50,41;89,24;97,71;36,53;21,72;35,02;33;9952;32,9;3,28;61,82;9,71;65,45;67;108,64;94,66;30,02;10,38;225,43;27,33;38,46;33,11
Caucaia;0,48;91,28;82,92;86,73;99,3;39,39;24,93;29,9;48;325441;17,57;2,01;47,88;5,1;48,83;52;109,7;93,05;12,86;9,71;379,63;6,53;10,17;34,52
Cedro;0,56;79,3;68,42;90,63;99,62;31,04;19,75;38,34;50;24527;26;2,14;57,34;11,15;50,44;50;116,17;94,14;27,52;9,51;317,69;23,13;36,28;36,12
Chaval;0,5;72,98;49,61;80,26;97,28;40,51;34,96;46,32;44;12615;33;2,49;56,73;8,01;64,93;56;111,07;94,06;32,47;10,25;208,7;23,66;32,64;32,49
Choró;0,58;38,92;28,18;73,18;97,84;35,64;34,49;40,33;36;12853;21,8;2,4;62,68;8,3;56,61;64;105,26;93,37;32,43;9,94;171,62;41,75;54;28,43
Chorozinho;0,5;59,2;42,35;85,67;99,16;30,42;29,41;46,92;55;18915;27,9;2,13;50,04;7,18;64,17;45;106,15;91,81;28,72;9,35;277,4;17,2;23,32;33,1
Coreaú;0,51;68,58;63,78;66,1;98,36;43,91;28,89;38,97;59;21954;25;2,25;57,84;7,57;58,7;41;101,03;93,12;36,91;10,04;210,65;30,29;42,8;35,53
Crateús;0,6;77,54;70,93;85,34;99,44;32,04;18,74;39,42;57;72812;20,3;2,05;53,65;9,99;61,75;43;107,95;93,06;24,99;9,25;373,18;19,44;29,77;30,39
Crato;0,57;90,03;83,8;92,23;99,7;34,3;16,08;25,61;49;121428;16,48;2,23;50,19;7,79;39,8;51;114,22;94,72;14,94;10,47;470,46;8,61;13,69;37,58
Croatá;0,57;94,62;75,67;89,56;99,32;28,07;43,81;41,6;51;17069;24,8;2,38;64,95;9,5;69,67;49;106,88;91,79;35,25;10,45;176,12;41,08;55,34;28,59
Cruz;0,58;90,21;67,58;88,63;98,73;33,4;22,77;36,91;42;22479;26,1;1,94;56,87;7,39;58,14;58;99,45;92,64;24,64;10,04;282,51;24,71;35,82;33,03
Deputado Irapuan Pinheiro;0,5;80,2;62,25;91,17;96,92;28,55;13,55;40,45;62;9095;27,9;2,23;56,03;11,15;54,03;38;108,9;95,35;32,28;10,17;233,15;29,11;44,15;32,18
Ererê;0,46;79,31;55,16;96,53;99,51;34,97;22,12;35,9;43;6840;25,8;1,74;52,24;9,44;45,71;57;99,07;91,62;30,73;9,14;246,27;20,15;29,67;36,78
Eusébio;0,65;87,18;77,02;93,02;99,41;37,15;28,69;29,87;51;46033;19,2;2,06;49,07;5,14;58,22;49;114,43;94,49;13,49;10,13;623,01;5,6;8,78;35,52
Farias Brito;0,54;78,91;70,36;98,74;99,33;36,21;15,54;34,98;41;19007;22,5;2,5;57,75;10,22;53,76;59;109,65;96,39;27,62;10,73;231,88;30,83;45,41;30,95
Forquilha;0,45;92,19;88,07;97,94;99,69;44,28;31,86;31,76;48;21786;24,7;2,04;53,41;7,7;63,73;52;118,94;93,07;26,18;10,3;300,9;11,42;17,84;39,61
Fortaleza;0,61;98,7;95,16;98,59;99,75;31,46;16,82;21,96;51;2452185;15,76;1,62;41,16;6,58;39,3;49;116,89;93,37;6,94;10,04;846,36;3,36;5,73;39,42
Fortim;0,51;84,85;61,45;89,76;99,64;25,3;17,85;33,82;47;14817;29,4;1,89;51,09;7,9;42,94;53;104,65;94,71;26,79;9,44;264,14;19,95;26,34;31,08
Frecheirinha;0,53;70,27;66,98;95,09;98,28;34,29;36,38;45,79;49;12991;27,2;2,55;60,86;7,83;66,38;51;102,08;90,92;33,33;9,36;246,03;24,26;33,6;35,58
General Sampaio;0,51;64,36;69,14;97,53;97,82;45,33;30,48;52,27;48;6218;27,5;2,6;62,43;7,06;78,24;52;104,73;92,78;32,58;9,61;242,1;22,62;33,76;41,43
Graça;0,55;65,87;55,15;92,84;98,52;36,93;39,27;54,09;50;15049;25,6;2,33;67,75;10,03;75,19;50;105,32;96,26;35,69;9,74;195,67;37,99;51,72;32,14
Granja;0,62;70,73;37,62;64,89;92,71;46,49;26,2;56,17;56;52645;21,7;2,53;64,81;7,13;69,37;44;106,98;90,8;38,57;9,46;173,99;43,63;57,16;27,69
Granjeiro;0,51;86,42;60,68;97,16;99,54;48,15;22,87;41,59;47;4629;33,3;2,09;60,12;8,38;66,11;53;109,88;95,79;30,62;9,31;221,14;27,99;41,94;38,31
Groaíras;0,47;86,81;84,3;94,71;99,91;34,81;24,27;38,54;52;10228;31,5;2,01;53,8;10,52;58,94;48;114,07;96,4;25,24;10,37;304,64;14,32;24,65;41,23
Guaiúba;0,47;87,12;71,11;87,07;98,36;37,33;24,77;38,01;47;24091;23,4;2,13;53,2;6,66;54,25;53;107,27;91,57;23,07;9,3;239,69;17,67;24,14;34
Guaraciaba do Norte;0,51;87,07;70,61;88,99;99,8;29,02;24,27;44,24;49;37775;22;2,82;64,28;8,65;68,72;51;106,4;93,67;28,43;9,52;247,55;19,81;27,5;36,49
Guaramiranga;0,47;78,04;84,93;97,93;99,13;39,75;24,29;33,57;49;4164;29,1;2,33;54,62;7,88;52,63;51;100,16;92,66;17,85;9,34;287,35;9,44;14,28;40,76
Hidrolândia;0,51;75,34;64,69;97,71;97,68;31,29;21,49;51,74;52;19325;22,3;2,5;63;11;64,93;48;111,48;95,6;30,19;9,38;243,41;25,49;38,21;37,94
Horizonte;0,42;93,98;81,06;94,84;99,56;33,45;29,02;29,83;60;55187;20,1;1,94;48,38;5,23;50,76;40;105,03;91,49;15,65;9,29;322,78;7,51;10,64;34,36
Ibaretama;0,55;17,04;14,51;90,98;98,42;34,4;24,22;50,27;47;12922;25;2,65;59,95;8,23;76,18;53;103,39;91,78;34,67;8,86;199,63;34,72;47,56;31,36
Ibiapina;0,47;81,04;76,05;93,47;99,3;24,78;16,46;46,43;56;23808;23,5;2,45;60,23;8,96;61,22;44;111,49;94,29;25,48;9,94;258,57;15,06;23,25;38,24
Ibicuitinga;0,52;75,54;64,09;92,74;98,15;32,67;20,2;36,95;45;11335;25;2,2;51,09;8,49;46,97;55;104,83;92,83;29,34;9,94;196,54;31,29;41,85;33,08
Icapuí;0,47;85,41;77,25;95,29;98,8;22,15;26,08;43,27;47;18392;25,2;1,93;45,53;6,57;58,69;53;113,12;93,39;26,07;8,66;280,79;13,7;20,99;40,98
Icó;0,55;78,49;66,17;93,17;99,46;37,11;18,55;42,4;61;65456;30;2,06;54,16;8,82;57,42;39;109,64;91,59;32,83;9;274,01;24,65;36,48;30,36
Iguatu;0,54;87,24;83,52;96,32;99,83;29,73;17,57;34,87;58;96495;17,2;1,94;48,39;8,95;50,6;42;105,27;91,89;23,36;9,49;434,67;10,86;17,66;34,78
Independência;0,55;66,52;52,24;91,47;99,47;31,31;15,26;40,59;47;25573;25;2,15;55,26;10,41;57,27;53;109,36;94,3;28,74;9,92;262,34;28,13;41,38;36,23
Ipaporanga;0,55;82,55;68,5;88,2;97,66;30,2;18,93;50,04;44;11343;23,8;2,66;63,23;11,22;57,13;56;105,93;93,32;34,29;9,79;182,11;42,11;59,56;29,5
Ipaumirim;0,63;77,76;69,73;96,11;99,38;36,4;17,07;45,15;47;12009;30,5;2,02;56,94;10,68;60,59;53;113,36;92,1;27,32;8,91;380,61;18,95;29,91;39,76
Ipu;0,56;82,05;66,72;87,78;99,13;31,78;30,91;46,05;45;40296;24,5;2,33;60,37;10,2;65,2;55;110;93,11;28,13;8,82;301,38;21,08;31,67;37,4
Ipueiras;0,56;89,16;69,23;83;99,43;32,15;32,57;52,78;47;37862;29,2;2,41;64,59;9,73;66,52;53;108,87;95,18;32,03;9,61;222,22;33,07;46,98;33,36
Iracema;0,55;76,05;67,87;94,1;99,63;29,49;17,8;30,39;32;13722;29,7;1,91;51,83;9,51;44,95;68;99,68;94,38;26,59;10,38;328,61;18,59;26,92;34,33
Irauçuba;0,61;76,14;52,36;92,51;94,5;40,31;32,57;37,23;59;22324;25,6;2,38;62,24;7,46;63,7;41;104,04;92,54;28,01;10,24;211,75;35,65;45,64;26,06
Itaiçaba;0,44;88,18;70,21;99,78;99,36;18,36;14,32;32,7;48;7316;25;1,69;47,77;10,37;44,71;52;104,95;95,88;22,82;10,97;296,81;11,24;18,08;39,22
Itaitinga;0,45;92,98;85,6;96,06;99,25;41,29;35,31;35,6;49;35817;23,4;1,86;47,93;5,63;59,73;51;108,21;87,86;17,2;9,1;300,15;9,11;12,05;33,2
Itapagé;0,54;79,83;61,05;93,51;97,38;41,35;29,82;38,35;52;48350;24,8;2,54;56,38;7,21;57,26;48;105,99;93,03;23,36;9,56;263,18;22,46;32,47;36,78
Itapipoca;0,56;76,96;53,97;87,26;97,96;36,65;25,14;32,93;50;116065;24,6;2,6;58,34;7,03;49,9;50;107,35;94,34;22,68;9,79;264,08;25,35;35;32,44
Itapiúna;0,5;61,27;53,78;94,69;99,54;35,79;27,87;40,27;47;18626;22,3;2,48;57,97;8,38;59,34;53;104,92;91,25;30,42;9,27;209,53;26,66;37,37;32,81
Itarema;0,53;83,03;44,95;80,57;97,27;41,17;38,91;38,01;48;37471;25,9;2,6;61,23;6,4;65,45;52;110,98;93,18;26,9;10,16;214,89;27,82;38;33,88
Itatira;0,54;53,92;27,28;76,42;98,18;44,63;38,62;50,26;56;18894;27,1;2,82;68,1;8,38;73,96;44;118,1;94,73;32,57;8,83;196,02;33,92;46,92;32,22
Jaguaretama;0,56;62,13;63,52;96,99;99,14;27,55;19,25;37,63;51;17863;22,1;2,5;54,95;9,56;47,07;49;121,67;93,5;28,53;9,46;247,85;27,99;35,67;33,14
